train-rmse,train-mae,valid-rmse,valid-mae,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
30534.686529957806,25449.681116288637,30167.136165177457,25017.242875786615,1719735347,,False,1,f180d_00000,2024-06-30_08-15-47,2.705033779144287,2.705033779144287,12436,ip-10-0-1-209,10.0.1.209,2.705033779144287,1
22246.710697492093,18510.9795296401,22116.469407045923,18367.85378825801,1719735347,,False,2,f180d_00000,2024-06-30_08-15-47,0.0038530826568603516,2.7088868618011475,12436,ip-10-0-1-209,10.0.1.209,2.7088868618011475,2
16590.73191978974,13730.45371753363,16782.91701927627,13839.818131435926,1719735347,,False,3,f180d_00000,2024-06-30_08-15-47,0.004448652267456055,2.7133355140686035,12436,ip-10-0-1-209,10.0.1.209,2.7133355140686035,3
12783.232779242386,10440.9141183994,13274.05492211692,10728.007776744851,1719735347,,False,4,f180d_00000,2024-06-30_08-15-47,0.0030519962310791016,2.7163875102996826,12436,ip-10-0-1-209,10.0.1.209,2.7163875102996826,4
10288.84344466311,8243.958882638093,11116.744326397273,8712.19007437071,1719735347,,False,5,f180d_00000,2024-06-30_08-15-47,0.004201650619506836,2.7205891609191895,12436,ip-10-0-1-209,10.0.1.209,2.7205891609191895,5
8687.427564354835,6785.491605028263,9819.791430072733,7420.642332308353,1719735347,,False,6,f180d_00000,2024-06-30_08-15-48,0.0025565624237060547,2.7231457233428955,12436,ip-10-0-1-209,10.0.1.209,2.7231457233428955,6
7672.7315746648965,5823.79006421723,9007.153220318974,6557.446948298055,1719735348,,False,7,f180d_00000,2024-06-30_08-15-48,0.002727508544921875,2.7258732318878174,12436,ip-10-0-1-209,10.0.1.209,2.7258732318878174,7
6982.162298197567,5195.8564168038065,8503.532324881733,6024.38443042048,1719735348,,False,8,f180d_00000,2024-06-30_08-15-48,0.003899097442626953,2.7297723293304443,12436,ip-10-0-1-209,10.0.1.209,2.7297723293304443,8
6529.6602063157825,4804.270146143389,8233.544589044091,5702.6823020952515,1719735348,,False,9,f180d_00000,2024-06-30_08-15-48,0.0020220279693603516,2.7317943572998047,12436,ip-10-0-1-209,10.0.1.209,2.7317943572998047,9
6190.042620043797,4520.860535471523,8029.451978805417,5501.732904569508,1719735348,,False,10,f180d_00000,2024-06-30_08-15-48,0.0035953521728515625,2.7353897094726562,12436,ip-10-0-1-209,10.0.1.209,2.7353897094726562,10
6190.042620043797,4520.860535471523,8029.451978805417,5501.732904569508,1719735348,checkpoint_000000,False,11,f180d_00000,2024-06-30_08-15-48,0.2021634578704834,2.9375531673431396,12436,ip-10-0-1-209,10.0.1.209,2.9375531673431396,11
